k	label	terms	degree	leadcoef	leadmonom	trailcoef	trailmonom
792	J_13_49	14933	4	-50	B2c_47_13*target_b*Hfact_2_18*Hfact_3_7	37632	A3c_96_2
793	J_14_48	10423	4	-33/2	B2c_47_13*target_b*Hfact_3_12^2	17280	A3c_96_2
794	J_15_47	5605	4	-16	B2c_47_13*target_b*Hfact_3_13*Hfact_4_10	4608	A3c_96_2
795	J_16_46	2589	4	1/2	B2c_47_13*target_b*Hfact_4_11^2	544	A3c_96_2
796	J_17_45	85	3	-294	B2c_60_3^2*Hfact_1_1	-32352768	A3c_96_1
797	J_0_63	2470	4	-8	B2c_32_32*target_b*Hfact_0_16^2	-62	A3c_67_31
798	J_1_62	5015	4	-31	B2c_31_32*target_b*Hfact_0_15*Hfact_0_16	864	A3c_71_27
799	J_2_61	8302	4	-93/2	B2c_31_31*target_b*Hfact_0_15*Hfact_0_16	-3864	A3c_75_23
800	J_3_60	12170	4	-62	B2c_31_30*target_b*Hfact_0_15*Hfact_0_16	8512	A3c_79_19
801	J_4_59	16027	4	-155/2	B2c_31_29*target_b*Hfact_0_15*Hfact_0_16	-10500	A3c_83_15
802	J_5_58	20476	4	-93	B2c_31_28*target_b*Hfact_0_15*Hfact_0_16	7392	A3c_87_11
803	J_6_57	24349	4	-217/2	B2c_31_27*target_b*Hfact_0_15*Hfact_0_16	-2744	A3c_91_7
804	J_7_56	27769	4	-124	B2c_31_26*target_b*Hfact_0_15*Hfact_0_16	384	A3c_95_3
805	J_8_55	29926	4	-279/2	B2c_47_13*target_b*Hfact_0_15*Hfact_0_16	3888	A3c_95_3
806	J_9_54	29547	4	-245/2	B2c_47_13*target_b*Hfact_0_29*Hfact_1_1	17280	A3c_95_3
807	J_10_53	27871	4	-211/2	B2c_47_13*target_b*Hfact_1_14*Hfact_1_15	44352	A3c_95_3
808	J_11_52	24520	4	-177/2	B2c_47_13*target_b*Hfact_1_24*Hfact_2_4	72576	A3c_95_3
809	J_12_51	19512	4	-143/2	B2c_47_13*target_b*Hfact_2_13*Hfact_2_14	78624	A3c_95_3
810	J_13_50	15827	4	-109/2	B2c_47_13*target_b*Hfact_2_19*Hfact_3_7	56448	A3c_95_3
811	J_14_49	11046	4	-75/2	B2c_47_13*target_b*Hfact_3_12*Hfact_3_13	25920	A3c_95_3
812	J_15_48	7036	4	-41/2	B2c_47_13*target_b*Hfact_3_14*Hfact_4_10	6912	A3c_95_3
813	J_16_47	3363	4	-7/2	B2c_47_13*target_b*Hfact_4_11*Hfact_4_12	816	A3c_95_3
814	J_17_46	371	4	-9/2	B2c_60_3*target_b*Hfact_4_10*Hfact_5_13	-176	A3c_95_2
815	J_0_64	2325	4	-33/2	B2c_32_32*target_b*Hfact_0_16*Hfact_0_17	-64	A3c_66_32
816	J_1_63	4646	4	-16	B2c_31_32*target_b*Hfact_0_16^2	896	A3c_70_28
817	J_2_62	7795	4	-24	B2c_31_31*target_b*Hfact_0_16^2	-4032	A3c_74_24
818	J_3_61	11500	4	-32	B2c_31_30*target_b*Hfact_0_16^2	8960	A3c_78_20
819	J_4_60	15650	4	-40	B2c_31_29*target_b*Hfact_0_16^2	-11200	A3c_82_16
820	J_5_59	19353	4	-48	B2c_31_28*target_b*Hfact_0_16^2	8064	A3c_86_12
821	J_6_58	23639	4	-56	B2c_31_27*target_b*Hfact_0_16^2	-3136	A3c_90_8
822	J_7_57	26938	4	-64	B2c_31_26*target_b*Hfact_0_16^2	512	A3c_94_4
823	J_8_56	29234	4	-72	B2c_47_13*target_b*Hfact_0_16^2	5184	A3c_94_4
824	J_9_55	29591	4	-127	B2c_47_13*target_b*Hfact_0_30*Hfact_1_1	23040	A3c_94_4
825	J_10_54	27266	4	-55	B2c_47_13*target_b*Hfact_1_15^2	59136	A3c_94_4
826	J_11_53	24450	4	-93	B2c_47_13*target_b*Hfact_1_25*Hfact_2_4	96768	A3c_94_4
827	J_12_52	20922	4	-38	B2c_47_13*target_b*Hfact_2_14^2	104832	A3c_94_4
828	J_13_51	16362	4	-59	B2c_47_13*target_b*Hfact_2_20*Hfact_3_7	75264	A3c_94_4
829	J_14_50	11894	4	-21	B2c_47_13*target_b*Hfact_3_13^2	34560	A3c_94_4
830	J_15_49	7670	4	-25	B2c_47_13*target_b*Hfact_3_15*Hfact_4_10	9216	A3c_94_4
831	J_16_48	4077	4	-4	B2c_47_13*target_b*Hfact_4_12^2	1088	A3c_94_4
832	J_17_47	845	4	9	B2c_47_13*target_b*Hfact_4_10*Hfact_5_13	96	A3c_94_3
833	J_0_65	2186	4	-17/2	B2c_32_32*target_b*Hfact_0_17^2	-18	A3c_97_1
834	J_1_64	4478	4	-33	B2c_31_32*target_b*Hfact_0_16*Hfact_0_17	-306	A3c_97_1
835	J_2_63	7488	4	-99/2	B2c_31_31*target_b*Hfact_0_16*Hfact_0_17	-2448	A3c_97_1
836	J_3_62	11092	4	-66	B2c_31_30*target_b*Hfact_0_16*Hfact_0_17	-12240	A3c_97_1
837	J_4_61	14996	4	-165/2	B2c_31_29*target_b*Hfact_0_16*Hfact_0_17	-42840	A3c_97_1
838	J_5_60	19041	4	-99	B2c_31_28*target_b*Hfact_0_16*Hfact_0_17	-111384	A3c_97_1
839	J_6_59	22876	4	-231/2	B2c_31_27*target_b*Hfact_0_16*Hfact_0_17	-222768	A3c_97_1
840	J_7_58	26380	4	-132	B2c_31_26*target_b*Hfact_0_16*Hfact_0_17	-350064	A3c_97_1
841	J_8_57	28824	4	-297/2	B2c_47_13*target_b*Hfact_0_16*Hfact_0_17	-437580	A3c_97_1
842	J_9_56	29490	4	-263/2	B2c_47_13*target_b*Hfact_0_31*Hfact_1_1	-437580	A3c_97_1
843	J_10_55	28083	4	-229/2	B2c_47_13*target_b*Hfact_1_15*Hfact_1_16	-350064	A3c_97_1
844	J_11_54	25199	4	-195/2	B2c_47_13*target_b*Hfact_1_26*Hfact_2_4	-222768	A3c_97_1
845	J_12_53	21381	4	-161/2	B2c_47_13*target_b*Hfact_2_14*Hfact_2_15	-111384	A3c_97_1
846	J_13_52	17106	4	-127/2	B2c_47_13*target_b*Hfact_2_21*Hfact_3_7	-42840	A3c_97_1
847	J_14_51	12690	4	-93/2	B2c_47_13*target_b*Hfact_3_13*Hfact_3_14	-12240	A3c_97_1
848	J_15_50	8501	4	-59/2	B2c_47_13*target_b*Hfact_3_16*Hfact_4_10	-2448	A3c_97_1
849	J_16_49	4760	4	-25/2	B2c_47_13*target_b*Hfact_4_12*Hfact_4_13	-306	A3c_97_1
850	J_17_48	1660	4	9/2	B2c_47_13*target_b*Hfact_4_11*Hfact_5_13	-18	A3c_97_1
851	J_18_47	8	2	523260	B2c_60_3^2	-30883968	A3c_97_0
852	J_0_66	2047	4	-35/2	B2c_32_32*target_b*Hfact_0_17*Hfact_0_18	-36	A3c_96_2
853	J_1_65	4205	4	-17	B2c_31_32*target_b*Hfact_0_17^2	-612	A3c_96_2
854	J_2_64	7062	4	-51/2	B2c_31_31*target_b*Hfact_0_17^2	-4896	A3c_96_2
855	J_3_63	10340	4	-34	B2c_31_30*target_b*Hfact_0_17^2	-24480	A3c_96_2
856	J_4_62	14293	4	-85/2	B2c_31_29*target_b*Hfact_0_17^2	-85680	A3c_96_2
857	J_5_61	18139	4	-51	B2c_31_28*target_b*Hfact_0_17^2	-222768	A3c_96_2
858	J_6_60	22032	4	-119/2	B2c_31_27*target_b*Hfact_0_17^2	-445536	A3c_96_2
859	J_7_59	25271	4	-68	B2c_31_26*target_b*Hfact_0_17^2	-700128	A3c_96_2
860	J_8_58	28072	4	-153/2	B2c_47_13*target_b*Hfact_0_17^2	-875160	A3c_96_2
861	J_9_57	28879	4	-136	B2c_47_13*target_b*Hfact_0_31*Hfact_1_2	-875160	A3c_96_2
862	J_10_56	27949	4	-119/2	B2c_47_13*target_b*Hfact_1_16^2	-700128	A3c_96_2
863	J_11_55	25057	4	-102	B2c_47_13*target_b*Hfact_1_27*Hfact_2_4	-445536	A3c_96_2
864	J_12_54	21708	4	-85/2	B2c_47_13*target_b*Hfact_2_15^2	-222768	A3c_96_2
865	J_13_53	17486	4	-68	B2c_47_13*target_b*Hfact_2_22*Hfact_3_7	-85680	A3c_96_2
866	J_14_52	13269	4	-51/2	B2c_47_13*target_b*Hfact_3_14^2	-24480	A3c_96_2
867	J_15_51	8970	4	-34	B2c_47_13*target_b*Hfact_3_17*Hfact_4_10	-4896	A3c_96_2
868	J_16_50	4887	4	-17/2	B2c_47_13*target_b*Hfact_4_13^2	-612	A3c_96_2
869	J_17_49	2123	4	9	B2c_60_3*target_b*Hfact_4_13*Hfact_5_13	-36	A3c_96_2
870	J_18_48	85	3	45/2	B2c_60_3^2*Hfact_1_1	27502362	A3c_96_1
871	J_0_67	1915	4	-9	B2c_32_32*target_b*Hfact_0_18^2	-54	A3c_95_3
872	J_1_66	3941	4	-35	B2c_31_32*target_b*Hfact_0_17*Hfact_0_18	-918	A3c_95_3
873	J_2_65	6556	4	-105/2	B2c_31_31*target_b*Hfact_0_17*Hfact_0_18	-7344	A3c_95_3
874	J_3_64	9945	4	-70	B2c_31_30*target_b*Hfact_0_17*Hfact_0_18	-36720	A3c_95_3
875	J_4_63	13584	4	-175/2	B2c_31_29*target_b*Hfact_0_17*Hfact_0_18	-128520	A3c_95_3
876	J_5_62	17272	4	-105	B2c_31_28*target_b*Hfact_0_17*Hfact_0_18	-334152	A3c_95_3
877	J_6_61	21146	4	-245/2	B2c_31_27*target_b*Hfact_0_17*Hfact_0_18	-668304	A3c_95_3
878	J_7_60	24646	4	-140	B2c_31_26*target_b*Hfact_0_17*Hfact_0_18	-1050192	A3c_95_3
879	J_8_59	27051	4	-315/2	B2c_47_13*target_b*Hfact_0_17*Hfact_0_18	-1312740	A3c_95_3
880	J_9_58	28388	4	-281/2	B2c_47_13*target_b*Hfact_0_31*Hfact_1_3	-1312740	A3c_95_3
881	J_10_57	27694	4	-247/2	B2c_47_13*target_b*Hfact_1_16*Hfact_1_17	-1050192	A3c_95_3
882	J_11_56	25189	4	-213/2	B2c_47_13*target_b*Hfact_1_28*Hfact_2_4	-668304	A3c_95_3
883	J_12_55	21969	4	-179/2	B2c_47_13*target_b*Hfact_2_15*Hfact_2_16	-334152	A3c_95_3
884	J_13_54	18011	4	-145/2	B2c_47_13*target_b*Hfact_2_23*Hfact_3_7	-128520	A3c_95_3
885	J_14_53	13685	4	-111/2	B2c_47_13*target_b*Hfact_3_14*Hfact_3_15	-36720	A3c_95_3
886	J_15_52	9748	4	-77/2	B2c_47_13*target_b*Hfact_3_18*Hfact_4_10	-7344	A3c_95_3
887	J_16_51	6032	4	-43/2	B2c_47_13*target_b*Hfact_4_13*Hfact_4_14	-918	A3c_95_3
888	J_17_50	2829	4	-9/2	B2c_47_13*target_b*Hfact_4_13*Hfact_5_13	-54	A3c_95_3
889	J_18_49	354	4	-3/2	B2c_60_3*target_b*Hfact_5_13^2	12	A3c_95_2
890	J_0_68	1785	4	-37/2	B2c_32_32*target_b*Hfact_0_18*Hfact_0_19	-72	A3c_94_4
891	J_1_67	3682	4	-18	B2c_31_32*target_b*Hfact_0_18^2	-1224	A3c_94_4
892	J_2_66	6227	4	-27	B2c_31_31*target_b*Hfact_0_18^2	-9792	A3c_94_4
893	J_3_65	9362	4	-36	B2c_31_30*target_b*Hfact_0_18^2	-48960	A3c_94_4
894	J_4_64	12630	4	-45	B2c_31_29*target_b*Hfact_0_18^2	-171360	A3c_94_4
895	J_5_63	16513	4	-54	B2c_31_28*target_b*Hfact_0_18^2	-445536	A3c_94_4
896	J_6_62	19818	4	-63	B2c_31_27*target_b*Hfact_0_18^2	-891072	A3c_94_4
897	J_7_61	23615	4	-72	B2c_31_26*target_b*Hfact_0_18^2	-1400256	A3c_94_4
898	J_8_60	26311	4	-81	B2c_47_13*target_b*Hfact_0_18^2	-1750320	A3c_94_4
899	J_9_59	26985	4	-145	B2c_47_13*target_b*Hfact_0_31*Hfact_1_4	-1750320	A3c_94_4
900	J_10_58	27264	4	-64	B2c_47_13*target_b*Hfact_1_17^2	-1400256	A3c_94_4
901	J_11_57	25189	4	-111	B2c_47_13*target_b*Hfact_1_29*Hfact_2_4	-891072	A3c_94_4
902	J_12_56	22083	4	-47	B2c_47_13*target_b*Hfact_2_16^2	-445536	A3c_94_4
903	J_13_55	17601	4	-77	B2c_47_13*target_b*Hfact_2_24*Hfact_3_7	-171360	A3c_94_4
904	J_14_54	14013	4	-30	B2c_47_13*target_b*Hfact_3_15^2	-48960	A3c_94_4
905	J_15_53	10229	4	-43	B2c_47_13*target_b*Hfact_3_19*Hfact_4_10	-9792	A3c_94_4
906	J_16_52	6598	4	-13	B2c_47_13*target_b*Hfact_4_14^2	-1224	A3c_94_4
907	J_17_51	3428	4	-9	B2c_47_13*target_b*Hfact_4_14*Hfact_5_13	-72	A3c_94_4
908	J_18_50	861	4	4	B2c_47_13*target_b*Hfact_5_13^2	-6	A3c_94_3
909	J_0_69	1662	4	-19/2	B2c_32_32*target_b*Hfact_0_19^2	-90	A3c_93_5
910	J_1_68	3432	4	-37	B2c_31_32*target_b*Hfact_0_18*Hfact_0_19	-1530	A3c_93_5
911	J_2_67	5823	4	-111/2	B2c_31_31*target_b*Hfact_0_18*Hfact_0_19	-12240	A3c_93_5
912	J_3_66	8790	4	-74	B2c_31_30*target_b*Hfact_0_18*Hfact_0_19	-61200	A3c_93_5
913	J_4_65	12123	4	-185/2	B2c_31_29*target_b*Hfact_0_18*Hfact_0_19	-214200	A3c_93_5
914	J_5_64	15703	4	-111	B2c_31_28*target_b*Hfact_0_18*Hfact_0_19	-556920	A3c_93_5
915	J_6_63	19249	4	-259/2	B2c_31_27*target_b*Hfact_0_18*Hfact_0_19	-1113840	A3c_93_5
916	J_7_62	22668	4	-148	B2c_31_26*target_b*Hfact_0_18*Hfact_0_19	-1750320	A3c_93_5
917	J_8_61	25328	4	-333/2	B2c_47_13*target_b*Hfact_0_18*Hfact_0_19	-2187900	A3c_93_5
918	J_9_60	26748	4	-299/2	B2c_47_13*target_b*Hfact_0_31*Hfact_1_5	-2187900	A3c_93_5
919	J_10_59	26701	4	-265/2	B2c_47_13*target_b*Hfact_1_17*Hfact_1_18	-22294272	A3c_97_0
920	J_11_58	24993	4	-231/2	B2c_47_13*target_b*Hfact_1_30*Hfact_2_4	-178882704	A3c_97_0
921	J_12_57	22070	4	-197/2	B2c_47_13*target_b*Hfact_2_16*Hfact_2_17	-628467840	A3c_97_0
922	J_13_56	18488	4	-163/2	B2c_47_13*target_b*Hfact_2_25*Hfact_3_7	-1263278016	A3c_97_0
923	J_14_55	14577	4	-129/2	B2c_47_13*target_b*Hfact_3_15*Hfact_3_16	-1590196608	A3c_97_0
924	J_15_54	10703	4	-95/2	B2c_47_13*target_b*Hfact_3_20*Hfact_4_10	-1285476192	A3c_97_0
925	J_16_53	7089	4	-61/2	B2c_47_13*target_b*Hfact_4_14*Hfact_4_15	-653837184	A3c_97_0
926	J_17_52	3960	4	-27/2	B2c_47_13*target_b*Hfact_4_15*Hfact_5_13	-193152960	A3c_97_0
927	J_18_51	1398	4	7/2	B2c_47_13*target_b*Hfact_5_13*Hfact_5_14	-26522496	A3c_97_0
928	J_19_50	8	2	-244188	B2c_60_3^2	14651280	A3c_97_0
929	J_0_70	1541	4	-39/2	B2c_32_32*target_b*Hfact_0_19*Hfact_0_20	-108	A3c_92_6
930	J_1_69	3188	4	-19	B2c_31_32*target_b*Hfact_0_19^2	-1836	A3c_92_6
931	J_2_68	5337	4	-57/2	B2c_31_31*target_b*Hfact_0_19^2	-14688	A3c_92_6
932	J_3_67	8142	4	-38	B2c_31_30*target_b*Hfact_0_19^2	-73440	A3c_92_6
933	J_4_66	11381	4	-95/2	B2c_31_29*target_b*Hfact_0_19^2	-257040	A3c_92_6
934	J_5_65	14629	4	-57	B2c_31_28*target_b*Hfact_0_19^2	-668304	A3c_92_6
935	J_6_64	18258	4	-133/2	B2c_31_27*target_b*Hfact_0_19^2	-1336608	A3c_92_6
936	J_7_63	21267	4	-76	B2c_31_26*target_b*Hfact_0_19^2	-2100384	A3c_92_6
937	J_8_62	23823	4	-171/2	B2c_47_13*target_b*Hfact_0_19^2	-2625480	A3c_92_6
938	J_9_61	25791	4	-154	B2c_47_13*target_b*Hfact_0_31*Hfact_1_6	-2625480	A3c_92_6
939	J_10_60	25999	4	-137/2	B2c_47_13*target_b*Hfact_1_18^2	1436960	A3c_96_1
940	J_11_59	24009	4	-120	B2c_47_13*target_b*Hfact_1_30*Hfact_2_5	11370240	A3c_96_1
941	J_12_58	21960	4	-103/2	B2c_47_13*target_b*Hfact_2_17^2	39231360	A3c_96_1
942	J_13_57	18578	4	-86	B2c_47_13*target_b*Hfact_2_26*Hfact_3_7	76957440	A3c_96_1
943	J_14_56	14700	4	-69/2	B2c_47_13*target_b*Hfact_3_16^2	93562560	A3c_96_1
944	J_15_55	10824	4	-52	B2c_47_13*target_b*Hfact_3_21*Hfact_4_10	71688960	A3c_96_1
945	J_16_54	7537	4	-35/2	B2c_47_13*target_b*Hfact_4_15^2	33210240	A3c_96_1
946	J_17_53	4032	4	-18	B2c_47_13*target_b*Hfact_4_16*Hfact_5_13	7983360	A3c_96_1
947	J_18_52	1894	4	-1/2	B2c_47_13*target_b*Hfact_5_14^2	433440	A3c_96_1
948	J_19_51	74	3	18	B2c_60_3^2*Hfact_2_4	-18869760	A3c_96_1
949	J_0_71	1427	4	-10	B2c_32_32*target_b*Hfact_0_20^2	-126	A3c_91_7
950	J_1_70	2954	4	-39	B2c_31_32*target_b*Hfact_0_19*Hfact_0_20	-2142	A3c_91_7
951	J_2_69	5030	4	-117/2	B2c_31_31*target_b*Hfact_0_19*Hfact_0_20	-17136	A3c_91_7
952	J_3_68	7652	4	-78	B2c_31_30*target_b*Hfact_0_19*Hfact_0_20	-85680	A3c_91_7
953	J_4_67	10653	4	-195/2	B2c_31_29*target_b*Hfact_0_19*Hfact_0_20	-299880	A3c_91_7
954	J_5_66	13939	4	-117	B2c_31_28*target_b*Hfact_0_19*Hfact_0_20	-779688	A3c_91_7
955	J_6_65	17258	4	-273/2	B2c_31_27*target_b*Hfact_0_19*Hfact_0_20	-1559376	A3c_91_7
956	J_7_64	20537	4	-156	B2c_31_26*target_b*Hfact_0_19*Hfact_0_20	-2450448	A3c_91_7
957	J_8_63	23191	4	-351/2	B2c_47_13*target_b*Hfact_0_19*Hfact_0_20	-3063060	A3c_91_7
958	J_9_62	24777	4	-317/2	B2c_47_13*target_b*Hfact_0_31*Hfact_1_7	-3063060	A3c_91_7
959	J_10_61	25198	4	-283/2	B2c_47_13*target_b*Hfact_1_18*Hfact_1_19	-2450448	A3c_91_7
960	J_11_60	24171	4	-249/2	B2c_47_13*target_b*Hfact_1_30*Hfact_2_6	-1559376	A3c_91_7
961	J_12_59	21790	4	-215/2	B2c_47_13*target_b*Hfact_2_17*Hfact_2_18	-779688	A3c_91_7
962	J_13_58	18629	4	-181/2	B2c_47_13*target_b*Hfact_2_27*Hfact_3_7	-299880	A3c_91_7
963	J_14_57	15050	4	-147/2	B2c_47_13*target_b*Hfact_3_16*Hfact_3_17	-85680	A3c_91_7
964	J_15_56	11425	4	-113/2	B2c_47_13*target_b*Hfact_3_22*Hfact_4_10	-17136	A3c_91_7
965	J_16_55	7972	4	-79/2	B2c_47_13*target_b*Hfact_4_15*Hfact_4_16	-2142	A3c_91_7
966	J_17_54	4921	4	-45/2	B2c_47_13*target_b*Hfact_4_17*Hfact_5_13	-126	A3c_91_7
967	J_18_53	2379	4	-11/2	B2c_47_13*target_b*Hfact_5_14*Hfact_5_15	-60	A3c_91_6
968	J_19_52	306	4	-3/2	B2c_60_3*target_b*Hfact_5_13*Hfact_6_16	6	A3c_91_5
969	J_0_72	1315	4	-41/2	B2c_32_32*target_b*Hfact_0_20*Hfact_0_21	-144	A3c_90_8
970	J_1_71	2728	4	-20	B2c_31_32*target_b*Hfact_0_20^2	-2448	A3c_90_8
971	J_2_70	4650	4	-30	B2c_31_31*target_b*Hfact_0_20^2	-19584	A3c_90_8
972	J_3_69	7093	4	-40	B2c_31_30*target_b*Hfact_0_20^2	-97920	A3c_90_8
973	J_4_68	9916	4	-50	B2c_31_29*target_b*Hfact_0_20^2	-342720	A3c_90_8
974	J_5_67	13040	4	-60	B2c_31_28*target_b*Hfact_0_20^2	-891072	A3c_90_8
975	J_6_66	16227	4	-70	B2c_31_27*target_b*Hfact_0_20^2	-1782144	A3c_90_8
976	J_7_65	19409	4	-80	B2c_31_26*target_b*Hfact_0_20^2	-2800512	A3c_90_8
977	J_8_64	22036	4	-90	B2c_47_13*target_b*Hfact_0_20^2	-3500640	A3c_90_8
978	J_9_63	23667	4	-163	B2c_47_13*target_b*Hfact_0_31*Hfact_1_8	-3500640	A3c_90_8
979	J_10_62	24237	4	-73	B2c_47_13*target_b*Hfact_1_19^2	-2800512	A3c_90_8
980	J_11_61	23532	4	-129	B2c_47_13*target_b*Hfact_1_30*Hfact_2_7	-1782144	A3c_90_8
981	J_12_60	21457	4	-56	B2c_47_13*target_b*Hfact_2_18^2	-891072	A3c_90_8
982	J_13_59	18524	4	-95	B2c_47_13*target_b*Hfact_2_28*Hfact_3_7	-342720	A3c_90_8
983	J_14_58	15137	4	-39	B2c_47_13*target_b*Hfact_3_17^2	-97920	A3c_90_8
984	J_15_57	11653	4	-61	B2c_47_13*target_b*Hfact_3_23*Hfact_4_10	-19584	A3c_90_8
985	J_16_56	8311	4	-22	B2c_47_13*target_b*Hfact_4_16^2	-2448	A3c_90_8
986	J_17_55	5320	4	-27	B2c_47_13*target_b*Hfact_4_18*Hfact_5_13	-144	A3c_90_8
987	J_18_54	2808	4	-5	B2c_47_13*target_b*Hfact_5_15^2	-78	A3c_90_7
988	J_19_53	726	4	7	B2c_47_13*target_b*Hfact_5_13*Hfact_6_16	-12	A3c_90_6
989	J_0_73	1210	4	-21/2	B2c_32_32*target_b*Hfact_0_21^2	-162	A3c_89_9
990	J_1_72	2512	4	-41	B2c_31_32*target_b*Hfact_0_20*Hfact_0_21	-2754	A3c_89_9
991	J_2_71	4217	4	-123/2	B2c_31_31*target_b*Hfact_0_20*Hfact_0_21	-22032	A3c_89_9
992	J_3_70	6560	4	-82	B2c_31_30*target_b*Hfact_0_20*Hfact_0_21	-110160	A3c_89_9
993	J_4_69	9035	4	-205/2	B2c_31_29*target_b*Hfact_0_20*Hfact_0_21	-385560	A3c_89_9
994	J_5_68	12040	4	-123	B2c_31_28*target_b*Hfact_0_20*Hfact_0_21	-1002456	A3c_89_9
995	J_6_67	15206	4	-287/2	B2c_31_27*target_b*Hfact_0_20*Hfact_0_21	-2004912	A3c_89_9
996	J_7_66	18284	4	-164	B2c_31_26*target_b*Hfact_0_20*Hfact_0_21	-3150576	A3c_89_9
997	J_8_65	20694	4	-369/2	B2c_47_13*target_b*Hfact_0_20*Hfact_0_21	-3938220	A3c_89_9
998	J_9_64	22249	4	-335/2	B2c_47_13*target_b*Hfact_0_31*Hfact_1_9	-3938220	A3c_89_9
999	J_10_63	23208	4	-301/2	B2c_47_13*target_b*Hfact_1_19*Hfact_1_20	-3150576	A3c_89_9
1000	J_11_62	22616	4	-267/2	B2c_47_13*target_b*Hfact_1_30*Hfact_2_8	22126104	A3c_97_0
1001	J_12_61	21003	4	-233/2	B2c_47_13*target_b*Hfact_2_18*Hfact_2_19	177441264	A3c_97_0
1002	J_13_60	18312	4	-199/2	B2c_47_13*target_b*Hfact_2_29*Hfact_3_7	622990368	A3c_97_0
1003	J_14_59	14584	4	-165/2	B2c_47_13*target_b*Hfact_3_17*Hfact_3_18	1251169920	A3c_97_0
1004	J_15_58	11791	4	-131/2	B2c_47_13*target_b*Hfact_3_24*Hfact_4_10	1573043472	A3c_97_0
1005	J_16_57	8560	4	-97/2	B2c_47_13*target_b*Hfact_4_16*Hfact_4_17	1269332064	A3c_97_0
1006	J_17_56	5567	4	-63/2	B2c_47_13*target_b*Hfact_4_19*Hfact_5_13	643747104	A3c_97_0
1007	J_18_55	3173	4	-29/2	B2c_47_13*target_b*Hfact_5_15*Hfact_5_16	189116928	A3c_97_0
1008	J_19_54	1039	4	5/2	B2c_47_13*target_b*Hfact_5_14*Hfact_6_16	25585560	A3c_97_0
1009	J_20_53	8	2	183141/2	B2c_60_3^2	-5573232	A3c_97_0
1010	J_0_74	1107	4	-43/2	B2c_32_32*target_b*Hfact_0_21*Hfact_0_22	66	A3c_88_9
1011	J_1_73	2304	4	-21	B2c_31_32*target_b*Hfact_0_21^2	1008	A3c_88_9
1012	J_2_72	3936	4	-63/2	B2c_31_31*target_b*Hfact_0_21^2	7038	A3c_88_9
1013	J_3_71	5978	4	-42	B2c_31_30*target_b*Hfact_0_21^2	29376	A3c_88_9
1014	J_4_70	8496	4	-105/2	B2c_31_29*target_b*Hfact_0_21^2	79560	A3c_88_9
1015	J_5_69	11280	4	-63	B2c_31_28*target_b*Hfact_0_21^2	137088	A3c_88_9
1016	J_6_68	14178	4	-147/2	B2c_31_27*target_b*Hfact_0_21^2	111384	A3c_88_9
1017	J_7_67	17043	4	-84	B2c_31_26*target_b*Hfact_0_21^2	-127296	A3c_88_9
1018	J_8_66	19661	4	-189/2	B2c_47_13*target_b*Hfact_0_21^2	-612612	A3c_88_9
1019	J_9_65	21340	4	-172	B2c_47_13*target_b*Hfact_0_31*Hfact_1_10	-1166880	A3c_88_9
1020	J_10_64	22116	4	-155/2	B2c_47_13*target_b*Hfact_1_20^2	-1487772	A3c_88_9
1021	J_11_63	21808	4	-138	B2c_47_13*target_b*Hfact_1_30*Hfact_2_9	-2520224	A3c_96_1
1022	J_12_62	20461	4	-121/2	B2c_47_13*target_b*Hfact_2_19^2	-19953360	A3c_96_1
1023	J_13_61	18010	4	-104	B2c_47_13*target_b*Hfact_2_29*Hfact_3_8	-68898816	A3c_96_1
1024	J_14_60	15019	4	-87/2	B2c_47_13*target_b*Hfact_3_18^2	-135296448	A3c_96_1
1025	J_15_59	11778	4	-70	B2c_47_13*target_b*Hfact_3_25*Hfact_4_10	-164743488	A3c_96_1
1026	J_16_58	8756	4	-53/2	B2c_47_13*target_b*Hfact_4_17^2	-126542304	A3c_96_1
1027	J_17_57	5932	4	-36	B2c_47_13*target_b*Hfact_4_20*Hfact_5_13	-58894080	A3c_96_1
1028	J_18_56	3206	4	-19/2	B2c_47_13*target_b*Hfact_5_16^2	-14325696	A3c_96_1
1029	J_19_55	1489	4	-2	B2c_47_13*target_b*Hfact_5_15*Hfact_6_16	-852768	A3c_96_1
1030	J_20_54	69	3	27/2	B2c_60_3^2*Hfact_3_7	10371088	A3c_96_1
1031	J_0_75	1011	4	-11	B2c_32_32*target_b*Hfact_0_22^2	-198	A3c_87_11
1032	J_1_74	2106	4	-43	B2c_31_32*target_b*Hfact_0_21*Hfact_0_22	132	A3c_87_9
1033	J_2_73	3603	4	-129/2	B2c_31_31*target_b*Hfact_0_21*Hfact_0_22	2178	A3c_87_9
1034	J_3_72	5529	4	-86	B2c_31_30*target_b*Hfact_0_21*Hfact_0_22	16830	A3c_87_9
1035	J_4_71	7817	4	-215/2	B2c_31_29*target_b*Hfact_0_21*Hfact_0_22	80784	A3c_87_9
1036	J_5_70	10422	4	-129	B2c_31_28*target_b*Hfact_0_21*Hfact_0_22	269280	A3c_87_9
1037	J_6_69	12894	4	-301/2	B2c_31_27*target_b*Hfact_0_21*Hfact_0_22	659736	A3c_87_9
1038	J_7_68	16001	4	-172	B2c_31_26*target_b*Hfact_0_21*Hfact_0_22	1225224	A3c_87_9
1039	J_8_67	18451	4	-387/2	B2c_47_13*target_b*Hfact_0_21*Hfact_0_22	1750320	A3c_87_9
